"BulkAG1"	"BulkAG2"	"BulkAG3"	"BulkTP1"	"BulkTP2"	"BulkTP3"	"RAG1"	"RAG10"	"RAG12"	"RAG2"	"RAG3"	"RAG4"	"RAG5"	"RAG6"	"RAG7"	"RAG8"	"RTP1"	"RTP10"	"RTP11"	"RTP12"	"RTP2"	"RTP3"	"RTP4"	"RTP5"	"RTP6"	"RTP7"	"RTP9"
"K00500"	0.000287573666494942	0.000274446537585534	0.000273941959341469	0.000115301072664292	0.00011777706187799	0.000105853386563193	0.000279016097089557	0.000267971388369223	0.000289457275476683	0.00026532568367043	0.00027365383874451	0.000269789346098072	0.000274841243253603	0.000221148010153088	0.000283826427180296	0.000223873614458235	0.000104167913045131	0.000112210405994171	0.000111154115581088	0.000110598656161033	0.000106279139929975	0.000110571892544279	0.000105568218919823	0.000109523726671019	0.000115304467520384	0.000113959784459475	0.000113625095654548
"K00507"	0.000440231666832231	0.000441003247569665	0.000435169219319319	0.000424181913781186	0.000435082322702221	0.000447584039755016	0.000461400472480666	0.000448711085819884	0.000481256276048378	0.000438907727536007	0.000461698899306514	0.000461740309428354	0.000476129649728716	0.0002337470298398	0.000486324081422191	0.000255593692263282	0.00044884706933732	0.000447733621763097	0.000427523518291649	0.00042571944124474	0.000441646616789163	0.000453576587465139	0.000447907988112978	0.000442620680513456	0.000454944829102449	0.000450255806315825	0.000432197313444622
"K00504"	1.75575181985986e-06	1.52629287499776e-06	1.92510161167582e-06	1.7723478291693e-06	1.78150177630573e-06	2.0062464962338e-06	2.37693922815481e-06	1.72826082111855e-06	2.22161004523198e-06	2.11568142107628e-06	2.20688579632669e-06	2.45606547568273e-06	2.67789454290616e-06	1.56509561325611e-07	2.38124785630451e-06	3.18794751809519e-07	1.70931903645485e-06	2.01454947924903e-06	1.79925726660035e-06	2.0090582408907e-06	2.02822786125907e-06	1.91510114707503e-06	1.81666151104858e-06	1.81030953175238e-06	1.79229742259665e-06	1.79464227495236e-06	2.0092855111326e-06
"K00505"	5.72929541217429e-06	7.44067776561407e-06	7.31538612436811e-06	4.33240580463607e-06	4.1568374780467e-06	4.0124929924676e-06	5.66808585175377e-06	6.7311210927775e-06	5.73915928351595e-06	4.90453420340411e-06	7.63214671229648e-06	5.76230746217872e-06	6.06989429725397e-06	7.82547806628055e-07	5.67836027272615e-06	1.11578163133332e-06	3.92137896598465e-06	3.52546158868581e-06	2.99876211100058e-06	4.41992812995955e-06	3.65081015026633e-06	3.42702310529216e-06	3.83517430110256e-06	3.21832805644867e-06	3.5845948451933e-06	4.58630803598936e-06	3.61671392003867e-06
"K01101"	4.72204831551784e-05	5.63774430702297e-05	5.18814884346633e-05	2.9539130486155e-05	2.96916962717622e-05	2.55079911664011e-05	5.52181266848271e-05	6.53100668191114e-05	6.31307521186754e-05	5.26035335149421e-05	5.68273092554124e-05	5.3750048294749e-05	5.48968381295764e-05	4.38226771711711e-06	5.53182194310741e-05	8.92625305066653e-06	3.3985284371867e-05	3.8578622527619e-05	3.16869196395728e-05	3.51585192155873e-05	3.70151584679781e-05	3.54797686194953e-05	3.64341558604743e-05	3.53010358691713e-05	3.64433809261319e-05	3.45967149671371e-05	3.88796746404158e-05
"K01103"	1.8481598103788e-06	1.81247278905984e-06	1.82884653109203e-06	1.37849275602057e-06	1.38561249268223e-06	1.71963985391468e-06	1.64557331179948e-06	2.54691068375365e-06	2.31417713044998e-06	2.98118745697113e-06	2.11493222147975e-06	2.73945764595382e-06	2.23157878575514e-06	7.04293025965249e-07	1.83172912023424e-06	7.17288191571417e-07	1.91041539368483e-06	2.01454947924903e-06	2.09913347770041e-06	2.20996406497977e-06	1.82540507513317e-06	1.81430634986056e-06	2.22036406905938e-06	2.91660980115661e-06	2.09101365969609e-06	1.69493992634389e-06	1.80835696001934e-06
"K01104"	0.000757006258331158	0.0007743074541473	0.000785730222805485	0.000702538986729053	0.000672417948234507	0.00067935327784374	0.000747090283556965	0.000720138995831344	0.000702399042634178	0.000724620886718627	0.000738295252446126	0.000736630714591306	0.000730708157607662	0.000252841196321524	0.000736355106334165	0.000301101643084091	0.000690263246191914	0.000698242849507715	0.000702110168922269	0.000701563137719034	0.000698724498203751	0.000669579837895759	0.000659750905429143	0.000681883256960062	0.000651101824797749	0.000646569730725891	0.000709277785429807
"K05592"	0.000256247357709021	0.000271966311663663	0.000269610480715198	0.000401141392001985	0.000402124539840565	0.000419209982165424	0.000276273474903224	0.000276248848091422	0.00026048377780345	0.00027580792343849	0.000271906720822418	0.000281597353192701	0.000275644611616474	0.000284221363367309	0.000259556016337192	0.000284285219926138	0.000426424825506177	0.000418522654313986	0.000418527231958647	0.000421600871850914	0.000422074217928013	0.000423842122286869	0.000422676578237303	0.000416069474047755	0.000419995029361815	0.000424732005072058	0.000421548100235619
"K05593"	1.46004625019925e-05	1.5644501968727e-05	1.62671086186607e-05	5.61243479236945e-06	5.64142229163481e-06	3.91695744502789e-06	1.56329464620951e-05	1.53724251983702e-05	1.75877461914198e-05	1.41365985862824e-05	1.5172339849746e-05	1.57754974784237e-05	1.33894727145308e-05	1.33033127126769e-06	1.50201787859208e-05	2.47065932652377e-06	5.6306980024395e-06	7.95747044303368e-06	5.89756548496781e-06	6.73034510698386e-06	8.92420258953992e-06	6.9548410077988e-06	6.76201784668083e-06	6.93951987171744e-06	7.16918969038659e-06	6.28124796233325e-06	6.63064218673757e-06
"K05590"	0	9.53933046873599e-08	9.62550805837909e-08	0	0	0	0	9.09610958483446e-08	0	9.61673373216493e-08	0	9.44640567570281e-08	0	0	0	0	0	0	0	1.00452912044535e-07	0	1.00794797214475e-07	0	3.01718255292063e-07	0	9.97023486084643e-08	0
