GeneFamily	SRR4096731	SRR4096732	SRR4096733	SRR4096734	SRR4096735	SRR4096736	SRR4096737	SRR4096738	SRR4096739	SRR4096740	SRR4096741	SRR4096742	SRR4096743	SRR4096744	SRR4096745	SRR4096746	SRR4096747	SRR4096748	SRR4096749	SRR4096750	SRR4096751	SRR4096752	SRR4096753	SRR4096754	SRR4096755	SRR4096756	SRR4096757	SRR4096758	SRR4096759
K01451	0	0	12.1725984236	0	15.8535904629	0	0	53.6876210153	0	7.8016457996	16.4875011543	0	0	0	0	12.8960590137	0	0	21.3196381661	0	0	0	0	0	0	0	0	31.8286941742	0
K01455	9.3205375295	16.6596238614	8.1777322044	0	0	0	8.8927868845	0	21.7770860445	12.3668925840	14.3156283212	0	14.2741050096	0	0	14.8880441152	9.3437348158	18.7308935007	0	0	0	11.4691194630	11.4698065019	9.4335866209	0	10.8727222356	0	0	0
K01460	0	0	0	0	10.9464245656	0	0	8.2172467861	0	157.2366607481	32.2981250885	0	0	0	15.8882527502	47.6644884746	0	0	76.1515903933	0	13.1485006298	0	0	14.2444773182	0	0	0	15.3332851875	0
K01462	1785.3811800307	746.5134696183	988.0081285219	1588.2112920893	202.9149983162	1555.3028544467	3580.2187935225	721.5473928768	1339.2604991307	7908.9601161257	3748.5071316507	875.0990787780	1767.0750472056	627.8685535246	7459.9707711082	3934.4570284728	2977.2789106716	2825.2055009765	4173.7146656804	2268.9386607944	732.9193973485	1552.6390385580	553.5505331963	624.6951259840	269.7376756755	1069.5525589759	1264.1423711354	947.4431652581	287.7723738804
K01464	11.1627621426	0	0	22.1027719919	8.8881318173	0	0	14.7437477223	0	158.4025718160	43.0897780270	0	14.1259965140	10.3625776326	22.1865135231	96.5926423290	0	0	91.6811363771	0	12.5569640438	0	0	6.6828960648	0	0	0	19.9838481102	0
K01465	718.2715181496	257.7826312284	348.3668571647	648.2377817958	74.9256971480	583.2226121088	1828.3479025103	265.8070431997	422.9970147891	4194.0499870003	1864.5435823775	388.3454253276	593.2715639934	200.1142933197	3871.9470948783	2255.3487242835	1709.9843179491	1201.5207059312	2311.1891854650	1058.2086569024	337.4855411558	586.3094579185	197.6071465715	247.7967048901	96.5629748528	276.2545298556	395.5622810986	346.9072106138	129.5650685579
K01466	8.5648612140	0	11.4572465771	6.1985403126	8.9194905235	0	0	8.5311067948	0	166.2832646231	36.4307806867	0	0	8.6787649606	12.5333264491	54.8520867636	8.4571163323	0	61.7697044447	0	11.6252209978	0	0	23.4642715747	0	0	0	20.2516175136	35.7950260107
K01467	157.9118596561	28.7167535350	190.9785878432	1341.2615658773	195.2757558810	254.2486633879	1997.0157098752	275.5610620486	296.0886641907	5219.4808868521	1549.7780437156	226.4152578769	116.2819840318	173.8645982795	3874.4210285237	2508.8805220480	1173.1780295838	1082.2414500364	2083.1922931218	502.4207602270	360.7822419636	447.9221442200	19.5108398444	43.2082756576	17.4800914765	205.2621271945	235.7964559040	232.1387431982	75.9697522209
K01468	186.3930703115	154.3293535728	97.6236193546	48.3791693758	18.0669879262	153.4783237352	130.5179020460	81.2730669141	201.0869773466	38.7380812922	82.1373346920	160.0456814613	75.5960337422	86.1804684651	71.3571221381	37.0464269833	66.4233816575	98.5101592202	16.4717357294	47.6386574709	0	215.9021019981	95.2813554513	104.3861393834	52.5654000468	41.9146880856	123.1373186307	120.5198381445	63.6488038934
K01470	0	0	4.4285214071	48.1126691317	0	0	0	14.7882196702	0	22.1121987236	30.7214219589	0	7.3980478850	5.8951364922	0	193.7448656711	0	0	46.8264896449	19.0770873949	10.2044132469	0	0	0	0	0	5.9241250105	4.4519741921	5.8993448631
K01474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.5036700272	0
K01476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.2039682354
K01478	63.3412116428	31.5260747652	44.9152988413	302.6897450603	23.3647148523	54.0853529478	695.5737013903	33.3985928160	167.2419481458	1849.2311600010	759.8473720879	142.2460962917	50.7181400785	24.9158245341	1953.0394612108	1012.9913618213	584.0038448645	513.5780241375	845.1691905768	267.7828075344	141.1127541291	203.7549358433	32.2328778085	38.1877379771	15.0061274687	90.6923018449	79.3054664449	106.3004802010	103.5365434547
K01479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.2453456861	0	0	0	0	0	0	0	0	0	4.8810046177	0	0	0
K01480	13.5903240344	0	78.6400698212	396.5509268310	82.1359884172	0	35.0240358082	228.3140913299	0	570.8925903115	87.0659849239	0	16.8703624696	178.2649434353	85.6726798093	356.7002876932	77.7245171145	19.9604424896	127.3818666739	57.0339026604	23.7601839152	0	0	36.1941833328	29.1687760396	60.4690903117	81.0420220249	22.4371028296	63.2818961811
K01483	11.1607142857	0	0	0	0	0	0	0	0	142.6880997503	0	0	0	8.9236000636	20.0892857143	37.0403225902	0	0	62.4751652703	0	0	0	0	11.1557429208	0	0	0	0	0
K01484	0	0	0	0	0	0	0	0	0	76.4018953587	21.4689954196	0	0	0	11.4581390860	31.3265630402	0	0	25.2094458101	0	7.6399018138	0	0	12.2230710466	0	0	0	10.6968949356	0
K01485	165.1964748262	34.4297839154	67.0343814269	145.9968463053	32.1076994388	82.1645276690	126.9871983079	90.7238097880	31.3215667884	460.3254567991	163.3381831716	30.8991747421	184.1274456973	26.2770328959	271.9571649404	506.7724540411	126.4791762447	104.6428573659	368.7187277978	67.5796162449	50.0223125411	48.6599526317	7.2063045365	71.3939259043	14.0085303940	34.8544524977	54.6549152840	60.5253719918	17.0386712442
K01486	90.8127418634	24.9505629977	34.9672672494	114.2990893358	20.7436332801	81.8393558796	112.4332515280	41.2565491769	32.2509047658	485.0556586542	215.1438406879	33.7923894783	42.0227258815	24.9352134269	276.4747157110	213.6614135616	291.0662635862	50.7608200598	599.7133638541	325.9800546930	95.4341528917	36.4633145813	26.8733867020	51.2919554934	13.8196429365	30.4563870825	52.7116123615	51.9606343420	21.2969812174
K01487	12.4088493678	0	20.1346448990	0	13.2420611196	4.6766160347	15.3779041888	21.0134867871	8.4691763281	185.5414356994	52.8270522211	0	0	17.7546137932	14.7255706617	118.6542036719	20.8167005194	0	88.4609479973	0	16.1426701074	0	0	0	0	0	10.7712182210	26.2669778939	11.6881945553
K01488	115.4511419793	4.9785510981	43.3599027802	238.6710701319	31.7782062669	77.4809409976	1165.0632319553	20.2179439545	186.3315702851	2301.5641496430	850.1303271173	124.3013911211	10.3098443040	21.5377951793	2067.0945580065	1376.1099751256	723.4235626786	586.2770061527	842.4662618491	219.9341336062	134.0952236540	254.3981064986	0	15.3728943411	11.4533579137	50.0910963198	52.9825480114	94.2706974522	26.4063324376
K01489	265.9013090135	251.9195572683	124.6726970000	207.7280402542	22.5978696257	242.8976555705	264.7840416511	377.0324545142	253.9805625338	370.0977225932	387.7507272024	179.4453717201	261.9139391901	356.8651865268	262.0089943012	422.1846327603	253.9806700570	270.2820220146	211.3989734586	469.5279538868	31.6642487407	285.7157802260	168.9481616227	152.2229356550	70.9230336370	222.3442648865	231.9991890640	216.9188207393	44.5176156835
K01491	2151.0096100458	1692.1269333996	1494.6731784124	1330.2946927950	243.9612481531	2100.8343777834	2567.9459626813	1120.1269069303	1979.0837580385	4912.5771216275	3342.6826335351	1469.0576258840	2524.6798917330	1148.5310690216	4285.0681493378	2420.1532030403	2247.6682773640	2151.7689833861	2213.3200139239	2013.7059416160	361.8537417272	2431.3893987238	1154.0779346200	987.2215137981	505.0802455679	1386.7872225843	1606.2175598690	1529.0541119366	286.5074088265
K01492	801.4778749055	945.4259555774	503.5886845993	329.9165170850	110.9862833580	803.8731116900	574.8875715595	551.2484946932	793.3864934061	324.5993332445	897.7679192219	685.9964346808	962.6938644899	519.5344905107	603.0863996666	159.7942769314	567.0160783575	728.0106944938	124.1775035241	892.9268766360	15.2825961923	1063.9634596659	544.8126531004	549.1443270149	229.9635797272	619.6160072304	711.0842964672	675.9922750287	95.3308713697
K01493	2801.5641737388	2145.8697848559	1774.9104402472	1751.4023225513	288.3996014411	2461.5785069371	4075.2103186814	1388.7736482597	2678.8370249230	6301.9686840712	3841.8675525954	2167.9393676532	2900.8811578271	1401.2834936507	6555.1517502860	3476.2211529342	3199.3147367189	3276.4195801711	3360.8142422502	2469.6954461957	528.8705172431	3106.6683462487	1761.7862939576	1608.9299550844	630.9844877398	1850.1610070283	2273.0363429707	1836.5222673314	430.6901361063
K01494	101.9455750454	126.3522268181	122.6490464509	248.3132747681	91.8246107141	186.1612601004	83.7693469565	248.9803190469	125.7504987944	420.8427838293	197.2410606050	92.5859441181	61.5879830273	182.4311733063	99.8811625263	358.5884596068	162.0480158408	167.5252301019	145.0822969793	90.2662246165	16.5367130211	59.5151214490	79.8619358849	134.8040551237	62.9388569662	108.1886166543	88.3281165217	91.4756443489	35.3807276742
K01495	2182.3033730471	1830.6394080550	1643.5367924572	1008.2293720987	257.9100922885	2002.5048612572	1302.0240912877	1510.7589649542	1947.3326174626	1072.8789409681	1969.7712988143	1589.5563421340	2576.3633314194	1313.2596055280	1329.3328340603	869.3641484258	1191.0899185388	1409.8480055675	415.3882569383	1365.4380458439	80.1472504818	2190.3992929664	1287.6907239386	1182.0750338709	504.2086832694	1507.6839141698	1939.8152604244	1584.1542423714	222.7304284289
K01496	421.5408807561	64.6668958199	140.2077260789	22.0207851095	0	180.3765011889	35.7774233293	23.3703888908	68.3102345025	87.5419941967	37.6549642767	19.1723288909	533.3553336825	19.9255470892	0	0	29.7116719024	0	0	25.1747770568	0	0	25.4742725680	173.0773480953	5.3566539076	28.1512595989	158.9270535808	9.6835267567	37.8345712139
K01497	0	21.6724952148	49.5164266031	186.3776900715	49.3986778010	93.2873802694	0	138.9682185674	0	289.7098774455	40.2190839958	0	0	93.9791280390	40.9784162072	236.6666099350	0	0	66.2251469061	0	8.0883011726	7.7423107362	0	18.1117319757	0	51.4907459626	24.9587443616	35.9198392759	10.1079813973
K01499	33.1483172071	75.9050873834	0	0	0	0	63.0682204054	37.4244365712	71.6424754513	42.7825802650	71.6496175183	36.3485244432	0	18.1703054284	41.6847238999	0	29.9332112453	116.5263496802	0	0	0	0	0	65.2044227088	0	0	17.0961662934	0	0
K01500	0	0	0	0	0	0	0	0	0	15.8168172435	0	0	0	0	0	20.3861350001	0	0	0	0	0	0	0	0	0	0	0	0	0
K01501	0	19.0165670728	19.6403742031	0	0	139.6205469203	0	27.7348303646	0	0	25.3542985387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.0194055909	0	18.8176298175	0
K01505	0	0	0	0	0	0	0	24.9698218667	0	0	0	0	0	8.1836817959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01506	0	0	0	0	9.5090260162	0	0	12.2282608696	0	82.8804347826	17.6630434783	0	0	0	6.7934782609	31.2500000000	0	0	52.9835997876	0	0	0	0	0	0	0	0	9.5071874632	0
K01507	2448.5044246209	1955.4813951076	1645.2440738157	2503.1841776181	558.5633936798	2462.5834172101	2942.4629588995	1796.7766934525	2007.8207564778	5880.3053169065	3414.2750600783	1657.0546955216	2915.0450887918	1585.6373193606	4698.7481661459	3355.7103980562	2434.7692746284	2537.9973821877	2452.7427009162	2158.9482383782	409.7131011349	2243.9556721302	1609.8165517007	1391.4202801855	586.1627611129	1630.5793305544	1916.8756149408	1673.1839399537	375.6009502219
K01512	277.2091805194	29.0500626480	148.5875130622	731.4422701902	37.7517767270	170.2595334238	1688.7772143752	58.8150883162	205.5608857208	4117.8040729011	1426.7257555780	159.2356215620	233.8918080105	47.5051316029	3386.2038539622	1904.6810307153	1166.4223314077	822.4112463919	2048.5108827974	862.5022043140	301.6815692839	398.6049268118	24.9002406625	41.5190263501	0	141.8285953182	149.2255695469	205.6078540050	46.6512201138
K01514	153.3829595747	51.7764676478	119.0461532233	232.9079536135	46.7520319028	184.8192197438	280.3435281108	162.7244856912	96.2439017667	720.5723262985	347.8442151778	97.4476736991	76.2000840478	92.0399969349	586.0643056044	343.1262269990	515.0962767162	137.7741096592	838.4071236597	549.3032087757	141.3052098163	157.0967661576	54.7997415130	71.4516062555	35.4052057017	121.3764084829	118.5507716112	110.8091550760	43.5081249899
K01515	368.4810182164	71.5119888791	142.7469110722	610.1134475849	41.4901085408	281.2511379722	1852.7983486149	50.6513346462	367.4580933107	4216.0798991845	1687.4618657354	225.4499391186	316.3573990699	71.3587528010	3878.6465177679	2147.9241381391	1442.2691526205	1070.3462744040	2267.8092034421	704.2775581216	336.5376694811	397.7927492912	98.5029516163	116.6870391770	52.0347571878	178.0665664753	240.5199552327	212.0247988471	75.7798951750
K01516	923.2024520837	465.2222658826	527.7596531704	939.9943577316	116.7296013252	724.0344914404	2190.3881294779	552.4938156517	753.1231831516	5061.4201927286	2308.0574239544	587.1824817074	909.5827854242	422.9669804818	4675.1616101398	2558.1455057624	1810.3873558076	1694.6325064047	2608.4970562372	1344.9671910528	462.3354131759	919.7222005997	319.7289566153	445.7655623831	156.1882569584	419.5798714063	682.5163237821	513.7113694599	174.8003763809
K01520	1675.5318220840	964.7293186633	964.9770851001	1502.0677792439	276.5027879053	1248.4675801125	3043.4723567690	869.5877657563	1614.4053846363	6285.0031447870	3085.1936246972	1113.4682887307	1714.3160265471	793.6846298307	5505.9086980813	3168.2994152337	2363.2091741533	1957.5700396023	2900.2328939200	1764.0585800381	455.9446783920	1695.9548778702	843.6784861961	851.2544358073	335.9716266660	1027.7267796252	1292.9938528165	1086.8006793225	331.3599971651
K01521	8.1738993403	0	10.3211731632	0	10.5334823962	0	10.4362270510	27.3905944419	0	264.4267104739	53.9051146859	0	0	12.8920649698	20.0386503534	49.9439304929	0	0	128.6884390749	0	23.4416386551	0	0	17.2914431414	0	0	0	24.5320907897	13.6490600855
K01523	449.5445772671	153.5613388525	111.2414835224	76.1533154394	18.5245799908	213.1773986538	95.0098404261	0	76.7744609883	123.8095242317	80.6483350597	70.8022302405	579.3905050088	69.1819661183	0	28.3589314745	80.8751688672	0	0	57.4815813694	0	85.1335121673	95.4626697278	164.5444141907	25.0225988551	88.3520115530	198.1332607806	116.7234586214	27.7389002340
K01524	0	0	25.6000070048	0	12.4171928031	64.2822578557	0	45.3492755920	0	235.0560622914	44.1349909063	0	0	21.5307861115	18.5944633049	68.3395673426	0	0	95.6716539462	0	14.4638227020	0	0	22.0681974961	0	18.2074181183	0	35.8773324818	8.9553529446
K01525	0	0	9.8986165163	0	26.1458514493	0	0	56.2764232230	0	195.0687252884	37.0885167394	0	7.4015678595	0	22.4371654417	109.3438579063	16.4420715957	0	55.6770002279	0	0	0	0	0	0	0	0	20.9896331306	8.8730293060
K01529	126.8674011969	49.8633222729	93.0054501119	343.7419731888	26.0781923460	137.6929273375	1004.0065566374	50.7529080110	187.6988348799	2312.1778972460	929.7232087807	151.0573202781	33.7504799572	38.1244541284	1966.4483295750	1265.5233380563	999.0630929966	600.3608041132	1534.6042319763	745.5341667147	266.5095039198	240.9136717650	28.8952587900	45.2141139259	22.1342705570	47.3153429030	100.4324291089	104.8984195007	29.6022454618
K01531	264.4851719683	200.6528316080	177.0642798661	825.3676975817	67.9383805168	291.3489449599	3055.7027018615	227.9547829255	580.7233976009	5705.0383555022	2259.1014962185	477.0387136164	314.6151674360	187.8291585968	5491.0785151680	3310.5661081089	1856.0038208460	1513.1531881606	2864.4546605354	881.6258327313	475.9470982684	824.3216803656	96.9857685409	118.3502560607	83.8395906843	230.0091557922	287.1345962070	395.8232008681	78.1504207646
K01533	959.5744197734	647.1437281112	597.4475492891	1380.7956471142	226.2915824040	819.6440031930	3833.4502454521	558.1558515005	961.9869230905	7611.8830860816	2902.2353924924	821.8685023100	702.7684132853	455.5590198836	6963.5487723662	4482.9125007856	2984.3352403080	2192.9209651902	4018.0925566301	1964.1832304449	673.9489783832	1187.0600914574	511.4140671840	554.2746723941	217.5512665315	620.7519491829	765.0930864730	693.3304068634	277.5600416257
K01534	1052.5445056160	784.1520750212	542.7341391953	1135.0015805247	181.1582901029	809.2662640048	2103.7697417897	647.9895867286	887.7744049033	5142.5239356084	2442.6969697589	760.7137961182	809.5371217969	601.7904173603	3926.3524866643	2647.2265016828	2194.7115022706	1719.4491441876	3010.7181020920	2393.8681394111	494.9083252848	962.4239635874	635.1399778164	673.3205157453	293.8246080507	789.2417286653	822.3920985490	710.5422052763	626.1361844253
K01537	1369.4814591938	1058.3941050081	833.3772169802	1099.5963080529	167.5632252608	1291.8254638953	2326.5957645031	779.8591604518	1206.7886383895	4005.5029075085	2486.9693012373	987.4477603742	1483.4371978805	770.7374675925	4356.4641774100	2456.8380750271	2108.8732587786	1699.4077296697	2572.9969467092	2035.1645342528	428.0457674905	1511.9606484376	799.5646389535	773.9697497153	329.0155389359	900.5686487287	1127.3734344791	955.8323473233	249.9556955878
K01545	0	0	0	0	0	0	0	0	0	105.6773385860	0	0	0	0	11.8343195266	11.7995127045	0	0	88.0651238772	0	0	0	0	23.6686390533	0	0	0	11.1420469541	0
K01546	71.8574366516	164.1942951154	78.4588042469	53.6864844210	39.6295034099	107.2303768819	98.2323719538	156.0228927588	106.3139060225	166.5956828429	162.8412454671	89.7458975997	172.8110483957	103.8010596835	127.4778384115	108.8295097221	82.1531426669	96.4177805977	67.6202713202	137.1106249352	9.0828451689	190.0296521302	124.9021422427	119.4441979568	46.1054627566	98.8580661012	109.9969041200	201.2767186438	32.3761882264
K01547	124.9667177156	282.9990668884	105.2589664506	160.9557406876	66.0718859252	196.4209509553	145.6773641627	211.7982601282	165.5813494172	260.4413190188	294.9776150239	141.8708320531	304.1331174161	169.9116113828	214.2776367532	344.7946464167	141.8087195273	182.3476447471	219.7062802935	219.4374156911	32.5221320746	277.8402836361	204.0612418471	224.1614624695	63.8597716432	165.9453576077	186.9277639838	303.5357740845	61.7381639790
K01548	0	0	7.3982015112	12.4841601711	9.1834716672	0	0	54.4426499198	0	77.4176788160	23.8417657866	0	35.2403313728	21.8010395971	0	37.4592852075	0	0	27.7623892424	22.2893981586	0	66.3112539462	0	9.1838035604	0	0	0	29.4311655569	9.2827348047
K01551	32.1206579632	76.3423344288	0	11.8440185065	0	0	58.2545679021	38.2648418021	64.0197389119	37.0123960839	43.0811303830	27.4322641034	0	17.1690207136	37.7746247964	25.2801021700	26.2809852817	99.1542239900	13.8243341777	0	0	0	0	40.8433732181	0	7.0908914696	19.7350051577	0	30.1046655558
K01552	422.6862429051	80.4310649228	206.3029382906	1202.0035187707	84.7104776190	421.0508042603	3919.6687726244	155.3104952494	612.0154674852	8620.9670691135	3208.3062725027	497.8495279291	144.3497756905	126.8988034782	7952.4904504208	4880.1481941473	3094.3032963263	2022.1033312582	4564.0288948758	1750.2004100611	780.2765714484	882.7175928566	96.6423181542	100.4342005528	74.0683077722	204.2323478350	284.0987173891	326.8223888396	137.1268995170
K01554	0	0	0	0	0	0	0	0	0	88.5749423758	11.8110236220	0	0	0	11.8110236220	21.6535433071	0	0	25.5905511811	0	0	0	0	13.7795275591	0	0	0	13.7795275591	0
K01555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.2404509094	0	0	0	0	0	0	0	0	0	0	0	0	0
K01560	50.3472373515	0	16.7938931298	97.7052690374	0	51.9037423199	70.2266803202	15.2671755725	0	230.4892100502	123.6882750981	12.2137404580	6.1068702290	9.1603053435	189.2943656771	39.6946564885	235.0959065640	33.5854589462	493.1283447602	354.1705596916	68.6976354496	10.6846955874	12.2137404580	0	9.1579780302	27.4269525234	38.0987480753	12.2137404580	0
K01564	0	0	15.3867014545	0	8.5007727975	45.8927306711	0	50.4024876321	0	132.9762468071	25.3662503583	0	0	22.2086087240	9.2729735697	44.0441512709	0	0	60.2752233355	0	8.5007727975	0	0	0	0	0	0	22.0859287563	0
K01567	0	0	28.4412880456	0	0	34.8610588893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.8616922061	0	0
K01571	373.9620975844	390.5979721358	214.5457683112	809.4411477041	180.5821447045	231.1964601842	292.1530666002	594.9988504640	379.8859399812	940.6091985461	438.0271900023	284.1606887922	379.0428248835	628.8217079704	404.9573560560	672.0462505119	451.9391184451	567.7948192172	348.8061205391	737.4236511452	67.7744342393	374.7685802913	353.4253030378	363.1877565871	184.8622446066	444.1204975106	490.2625884099	332.3687793555	142.2381020405
K01572	2972.8593621474	3351.7591630109	2661.8665450185	1924.5214371528	518.7535827409	3634.6973261355	2278.4019341777	2732.1566879632	3181.8990399690	1747.2325110159	3576.8194565002	2558.5625027710	4330.4631271740	2497.2301052317	2616.3296486951	1133.3735853578	2030.4187423315	2568.6492404336	536.5965964590	2839.6813316147	99.2899267202	3919.9332199723	2492.2884972814	2102.7652438204	951.2672766061	2672.5063071788	3033.8126907146	2634.6431297652	407.6705243703
K01573	52.9803906280	35.3399238223	0	35.2816175560	0	114.9272932829	48.5754462567	44.1893103583	70.7379829246	0	39.7840240147	70.7186614933	70.6601842410	66.2937117461	48.4974765869	0	48.5947676880	48.5362904357	0	61.7329990213	0	101.5755002883	30.8956526438	0	0	0	61.8691039712	30.9151450612	0
K01574	73.8376134181	8.7609511890	37.5422442066	138.9205256571	0	110.1314181741	120.1408088138	27.5344180225	21.2734668335	411.7443757725	192.7315433305	20.1959419402	21.2765957447	18.7734668335	361.6755514462	105.1282853567	431.7694148741	40.0422442066	729.6261185564	573.1758643373	143.9220940189	22.5281602003	21.2765957447	0	16.2703379224	27.5312930176	61.3250938673	17.5203379224	0
K01575	358.7450445701	46.6986887645	125.3052750180	164.8449510255	10.2597186107	226.2714936297	208.6781397276	58.3710644050	33.5046912310	768.4704659331	405.5974097180	20.4542476795	262.6141579030	25.9705511225	405.2756794381	193.7904430400	474.4778559317	75.8920332532	808.7302746138	549.3789376653	118.4946774204	39.4848980365	20.4430668023	59.6545791008	19.0003646127	90.4236166734	175.1566006973	45.0472800434	30.6585317663
K01577	30.0092441643	0	0	32.2842332904	16.7784614939	28.7678946986	63.1007478787	35.5033838268	30.0021193340	222.9235598782	87.9865936303	29.3308092019	51.5993778714	34.2198649494	207.9399498826	63.3849935692	33.4255966245	55.0008598428	127.4710382400	22.6710465938	21.5963047304	49.7547720836	0	30.0485862624	0	54.4491714925	0	52.8647164534	8.9802694479
K01579	1524.1115680502	1328.4606011067	1010.0484268421	564.0370277073	200.7159949319	1566.4947104834	995.7355122877	1141.0409915955	1564.7515212587	647.6870347317	1524.1174388100	1209.5004975070	1828.9107907616	951.8426028027	1001.3282273888	533.8037941836	858.3218030198	1084.6354016216	194.2186745386	998.2881147256	36.0947201142	1983.3841159259	925.6931530454	810.3782243508	321.5816259716	1106.4477526801	1366.0746555151	1058.0940940375	159.4180979194
K01580	78.9980112496	101.5223310681	37.1621497964	15.8408501154	33.1617144392	41.3419429277	44.6811284185	48.8589481668	34.1559824141	275.0829576962	54.5554686663	28.3888384086	125.1797723989	35.8988397473	43.4263303695	103.2136568874	34.0739872364	34.8531617085	127.6029333562	19.2223343752	22.5721051642	43.3483248485	61.7535411717	53.2120692879	0	34.8102960657	41.9857566481	56.2051605085	10.0799061717
K01581	255.9418453925	30.4275240666	143.6832371126	693.3471249190	63.1028417492	231.7852941846	1596.0006930869	159.9338901335	268.3928915267	3913.2669678713	1737.8569021503	232.4616839097	88.4356275935	99.2840784485	3500.9992161617	2222.3405295028	1514.0368346346	950.9560943306	2741.9352951863	1022.0121445588	429.6404681570	352.1895252492	53.1410101267	72.5755806431	90.1486216099	138.4109155092	179.3658121848	194.8659826627	68.7814870867
K01582	96.6700386758	26.8881314045	39.4149952641	61.9229023247	34.9505782315	73.3661436764	60.3925417193	87.7812016693	42.1941804953	388.1715753410	85.2270739856	15.4662145205	62.4563267845	78.3024436017	83.9936722048	146.7062068806	28.3903808072	88.2750515604	243.6336237174	28.9952504980	43.5212784539	59.5972785329	0	103.0381874461	48.2340008930	53.0201135740	60.5822248234	110.5552689156	26.7372038292
K01583	0	43.7481174660	0	0	0	0	0	0	0	0	63.2017604635	31.7839215747	0	0	0	0	41.6279171819	0	18.7580022030	47.0792381433	0	0	0	0	0	0	0	0	0
K01584	8.8683524174	0	24.2127187259	0	23.1125344080	0	0	10.4589530132	0	170.7541180646	31.0911601328	0	0	12.9674368733	16.2157556874	62.8454451369	0	0	87.7799213972	0	15.2058146344	0	0	13.2702981912	0	0	0	31.8197484680	9.9434262801
K01585	1519.1307199315	1439.0895256991	1151.1246195588	1092.3518665142	274.6437564045	1647.8117280517	1005.7802570501	1305.4920937853	1571.5258657695	1079.8166014139	1723.8975891402	1152.6933519342	1839.7478662151	1236.5091110346	1226.7376020358	730.4580435020	899.9674354079	1064.3075798547	337.5753965067	1270.0780715692	50.0310364444	1914.4295244763	976.8787311372	835.1367322290	438.8579837421	1148.3231698449	1448.3521203636	1234.4141603929	174.9527157017
K01586	1545.9644888750	1293.1195423667	993.7916422597	1201.7656827940	221.0204370414	1536.1775347163	2706.5945397376	992.1389333747	1510.4773387290	4430.9902193437	2696.2889835990	1194.6471918156	1835.5555763819	896.5282280275	4409.4749555458	2434.8492979940	2167.8149151352	2096.0243020748	2329.5764736885	1733.1053778863	357.4689277451	1711.8047182544	922.2446394537	932.8977697669	353.9195691878	1055.9801360268	1220.0418073388	1066.4732297448	222.2142607167
K01588	2311.1302184577	1711.6236082209	1302.4132773903	1320.9965966848	316.7430725602	1951.7577299297	1644.5516334181	1375.7118285559	1644.2966987557	1937.5263988544	2097.1029939869	1240.6073118105	2704.1379270075	1318.5377264693	1804.6935412447	1536.5990882706	1774.9852209572	1589.3401691314	1346.3679601141	1910.5478835998	182.4248604233	1830.1328660663	1309.2654540374	1334.1586946387	520.9584967515	1382.4472428026	1742.0044746632	1464.7880903539	300.5910827395
K01589	611.4397116418	46.9044183960	228.8971065703	383.9811971415	47.4025713544	379.4757525473	927.4853818700	151.7704436112	106.2198418713	1325.1076031189	480.5933346939	116.0624506267	530.6056018501	75.4206497444	888.7215107643	666.7317759771	1044.0041857222	199.1372306947	1426.9985925890	838.5966637833	245.7803130258	126.6961692596	54.6108695091	138.2208801706	57.9108386016	141.1411061430	253.6019998066	100.9749771725	69.8525959314
K01591	2162.1134927780	1877.8711755726	1488.5957110118	1439.6218821793	252.6342755256	2289.9737886029	2844.4986592275	1447.0239708255	2069.2024076049	4356.0128815543	3344.7109170044	1679.7061888877	2573.8460536726	1389.0826126841	4715.7453341751	2542.6198422609	2272.6257191121	2188.9630934061	1982.9454758337	2190.5364393226	363.6498585929	2478.6188294462	1419.5343507983	1221.9528171088	524.2820011610	1552.9902339157	1846.6590828843	1497.0512847283	278.0520592840
K01595	547.7309408562	81.0646451555	225.8114907924	904.7957627909	86.4807905207	293.9392091396	1713.2071392049	182.3594452830	317.8517290155	4675.3693868191	1706.1236000812	247.6188700171	545.6338739853	134.3031672536	3927.6155860628	2440.7588672332	1157.1450750785	1086.0346149079	1873.2455497123	760.1013463310	300.2123546009	439.4579634785	92.6363493781	185.7198765664	50.4367387847	218.5666570488	321.8161090788	224.2323037977	75.9790733915
K01596	18.7974292906	0	25.6465605893	0	0	13.3706992712	11.0098098074	15.3464227108	0	31.9481278930	30.3761705849	0	0	11.5639508929	10.4979750871	26.5736899783	14.4100213557	13.3433551304	0	8.2651592113	0	0	0	8.8575370434	9.4111211853	11.0689458022	0	19.3900945393	0
K01597	422.0244256165	27.1447802353	138.6480153418	496.0264982318	41.9409444467	272.3809494177	1297.5846042991	55.8553554516	247.5205946043	3156.2624611564	1319.2146878102	174.3453200717	346.3481218098	24.5581682614	2845.0432699374	1555.6451305133	1075.9245099562	777.3773988403	1642.7886253778	638.5208545136	269.9202740898	331.5382595205	27.9565997689	111.9649993440	30.0740670855	121.5665269884	188.0950433785	107.7509216413	74.8538900098
