GeneFamily	SRR5451791	SRR5451792	SRR5451801	SRR5451802	SRR5451803	SRR5451804	SRR5451805	SRR5451806	SRR5451807	SRR5451808	SRR5451809	SRR5452015	SRR5452016	SRR5452017	SRR5452018	SRR5452019	SRR5452020	SRR5452021	SRR5452022
K01620	102.7189444892	0	0	91.6850716161	39.3617249962	59.4305721874	45.0680095329	82.4364389494	0	0	14.1954232497	32.6554769341	0	15.9289450761	124.7803148324	0	67.1713337804	26.1440835254	43.0193093029
K01621	12.8463131749	0	7.1595447853	35.7027166557	30.1181500838	14.7769509491	35.2884176710	28.0163764771	11.5196720330	0	0	14.3934644419	0	0	0	0	23.5002971356	34.4370123297	0
K01623	0	0	0	41.6857787296	0	0	8.2311433318	141.6427647227	5.5615991281	0	6.8491649955	1100.7996245898	0	0	0	9.9313261171	30.2440279957	339.0096929612	0
K01624	1091.7326996299	459.9024317667	725.6246766379	1692.3296905288	1376.1616190834	1115.1171023118	794.7382490515	2604.6423311095	284.8697466846	469.7424130307	679.4458872574	3134.4673127885	284.7311920785	527.4770824420	813.9230315690	588.1832341282	1057.2605825481	2070.1258509856	1164.0550350966
K01625	22.1271334847	26.3246511169	31.7896402630	109.8946623449	49.1740457132	39.5388207768	37.8735699295	73.9195087652	0	0	37.6914274745	418.3606328854	0	21.8806130988	0	16.9079948669	31.6301617303	487.2217741338	45.4320012975
K01626	279.8618208809	41.2358140932	52.3830905476	298.6485190123	168.0800188870	283.3465369129	80.5121295931	1604.2840008528	39.2325184630	31.4396617599	86.0889928400	1712.1502159991	33.1888284170	0	335.2158381654	66.7835147798	272.0128696182	1116.4870260676	102.0363143338
K01627	109.1507925905	34.2616228828	53.4346669348	143.2279942284	81.2796839279	105.7553628118	82.0311047534	2388.1208454438	18.6905897451	48.4303939520	71.1746340007	1890.7120618652	40.7107257928	84.5354767467	0	42.2944656714	854.5741098275	1177.5550259519	114.6959238846
K01628	0	0	0	54.2585463948	0	20.0620710626	12.0655538294	18.1315868907	10.7836301311	0	14.2863199331	19.8367704137	0	0	0	0	0	16.7944916908	0
K01629	21.6388036174	14.0002238090	0	162.1473272406	66.2059491603	48.5194745729	38.1919453168	45.8367566032	0	15.3254148337	16.4890489135	42.8154159026	0	25.5388376679	0	0	30.5330334693	17.8218122829	0
K01630	0	0	15.8616236274	47.3231969450	22.6896178609	0	0	24.2323362483	0	0	7.9451624842	18.9797117074	0	0	0	0	17.0291615196	12.1307533825	27.4365203449
K01631	0	0	0	0	0	0	6.8493469894	0	0	0	0	50.5798369422	0	0	0	0	13.4019792744	8.4631783845	0
K01632	101.4665924558	0	0	0	0	65.3774205968	0	0	0	0	0	0	0	0	109.3333631247	0	0	0	34.9311974797
K01633	0	5.7299984403	12.0362907881	38.5536595363	20.6018591155	9.0823302984	21.4028762977	355.5897113421	9.2942467527	0	0	840.5250153423	0	0	5.9242353816	11.9604999120	29.6364246570	284.9179399980	0
K01635	0	0	0	0	0	8.4407336169	0	0	0	0	0	0	0	0	0	0	0	0	0
K01636	14.1917542948	0	0	12.1620422162	0	10.1776433105	8.5368171199	0	3.1110970310	0	0	0	0	0	15.2538394027	0	0	0	0
K01637	18.1689616292	6.2097007305	0	67.7304335257	20.0174550656	5.1948475727	19.6073928325	1677.7041651535	6.5724166811	0	7.8316384393	2052.6603124888	0	0	0	4.2580371953	409.4155996450	1313.6192534481	11.1558047925
K01638	10.9739205664	0	0	115.6074681126	18.8932504287	0	13.2420810194	1086.3480781656	8.5431015746	0	13.6345530643	1252.6521936060	0	0	0	0	189.4389123894	758.1123342459	0
K01639	45.8049067531	43.1856038996	59.8122367609	198.7834534805	98.3937360929	75.7362314789	44.6787809641	38.2062519927	17.0747909069	27.5292730298	160.3775819917	766.0603221957	29.8972619143	47.1392373871	49.0747187782	40.2136971473	53.1057437393	397.7198206485	246.5216463258
K01640	0	0	0	8.0738456384	0	0	6.6363781214	480.5148094420	0	0	0	286.2971494594	0	0	0	0	46.7921910406	139.8858308055	0
K01641	0	0	7.0509821161	0	0	0	11.5381559741	14.1199063183	0	0	0	1043.0921101051	0	0	0	0	19.4007372090	319.0036356049	0
K01643	12.6646365740	0	14.6461854054	52.6384563895	26.6457343508	0	18.0636278985	20.0140940975	7.3236901751	0	8.6848125210	30.0240461991	0	26.5630101021	7.3269145176	7.9867848173	0	23.5273511818	0
K01644	0	0	18.4687980523	62.9297263009	14.8648076986	0	36.3879893384	199.9371909633	0	0	10.0782019704	55.5107043545	0	10.7365311005	0	0	20.3570945172	38.1940244568	0
K01646	0	0	12.0225730099	68.7480698939	15.2968730161	0	11.5833582760	11.4358691551	0	0	7.7672538610	23.0054043849	0	0	0	11.4807426128	0	0	0
K01647	205.4989576240	49.7783255078	73.3357143283	266.8068391096	183.7438080492	269.6705866779	81.7655027569	1912.8549248789	34.6114742010	44.1246532516	165.4504658023	2670.9603565042	31.8417203268	54.4088553108	178.0224497889	103.3430472308	553.7397733875	1514.7954068985	268.0709128462
K01649	477.2269856666	242.7203545719	289.4850790879	792.7264575821	608.1939822497	873.1562380076	365.7232871330	1871.2701512498	138.0314172624	283.4884056078	475.6129518476	2652.4135658441	113.8279844941	158.6625140256	447.2698419334	410.4566519838	701.9773660142	1614.8354086204	988.0955509606
K01652	349.6126762848	98.8092283966	167.5631659749	497.6623861257	286.5549304636	390.5418454614	233.1030165073	1622.6201210659	107.7717278794	83.9453716868	185.7474779585	3362.0773984861	59.3640615046	126.1447123344	408.6909914140	217.9509141189	655.6254673529	1671.2974244678	272.2600588701
K01653	190.6023002199	38.3765208216	53.5829771338	102.9299788984	80.9593354792	141.3218555007	27.7730498238	1470.6555330634	19.0670283513	22.8132137531	53.2437436941	2228.3401551677	20.9017385283	51.5075164675	171.9256776581	50.0401792880	326.4855164543	1097.5433891687	54.1369287350
K01654	0	0	0	0	0	0	0	23.5633466431	0	0	0	24.5575008805	0	0	0	0	0	16.8603772065	0
K01657	217.2300544966	45.1721988612	102.0815425920	338.0065511610	255.4322386100	245.9422972253	118.9651142857	1453.7854528546	45.6398918974	49.8552292210	121.0063869109	1805.7914862397	9.6804584626	108.1320780291	206.0221142181	118.0989368684	390.1770891860	1032.8962941676	275.7425047412
K01658	30.0718115936	0	22.5357756604	127.6281243656	73.1088566925	41.2439739806	19.0161840412	1080.1868041128	0	11.3498736499	50.7157341485	1281.8604696332	0	65.5956677947	18.6956001510	42.8594856965	273.4810715355	960.5201149113	73.0222918638
K01659	0	9.8766723520	11.1509400247	62.7996272631	12.2620392399	0	16.0339153181	709.9545103361	0	0	7.8107105520	859.8801874713	0	0	0	0	120.6513334039	436.6388936282	0
K01661	166.4895785630	141.4364643810	174.2398233130	588.1071701385	528.0580328905	839.5632886072	131.9477276335	570.6328802803	55.3272895245	110.2015376512	367.5834696933	1767.2125249995	83.5544927993	83.9036226694	86.1634369380	350.9121294990	404.2470003198	697.5510510512	930.3936780255
K01662	139.6364938690	47.5759465059	79.0172590839	202.4726757474	155.8704941261	191.7843465846	139.3043884020	1368.8846030172	32.8610108617	61.7429240960	99.9948339380	1060.2382918717	38.5425966548	76.9335458247	198.2827780481	49.4282797489	536.5950857511	698.7852702189	183.4643524063
K01664	112.9650991747	0	0	50.6152846884	20.7690240689	85.4827359575	7.2446494483	11.6678705217	0	0	13.5709242299	115.9743616466	0	0	158.6410185229	16.1134153218	0	9.1410556736	0
K01665	0	0	0	28.9805739762	0	0	0	54.8176399059	0	0	0	211.4620649145	0	0	0	0	0	96.2486931296	0
K01666	0	15.0286874241	10.5009402061	91.5513047681	45.0695705866	19.1705248119	0	928.1637953708	0	0	15.7980908128	811.2791315465	0	0	0	0	221.3857898226	501.3692152265	0
K01667	0	0	0	39.0741816875	0	0	0	0	0	0	9.4201830945	37.2689229973	0	0	0	0	0	0	0
K01668	0	0	0	0	0	0	0	11.7350462474	0	0	0	35.1959978407	0	0	0	0	0	0	0
K01669	0	0	5.9558675861	48.9999534775	0	0	13.2133788424	181.3895834658	0	3.7507814963	0	313.8374470000	0	0	0	0	54.9438268774	195.7387268278	0
K01671	0	0	0	36.6938475943	0	0	0	15.3860341176	0	0	0	22.4980413269	0	0	0	0	0	7.0983247483	0
K01673	133.5948225464	6.3521596565	16.3562624737	91.9801802666	44.4616327929	90.4828544907	28.7871298121	862.1867820940	5.4186965192	8.6495033788	19.2377867110	798.6177365773	12.2822290390	16.6758523571	203.3599274241	0	193.7917305818	496.7390841257	18.9639460449
K01674	0	0	0	11.5896836506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01676	547.8182119532	285.6683178972	669.9384174817	969.7210412942	791.0331573162	868.3363896079	866.9733177691	2146.7552357860	99.3194085738	571.9615430896	390.5537464653	1957.7584854293	215.0937749932	794.8974341142	1199.5812531934	511.9724251946	862.9225405556	1399.0706237061	1291.8804628245
K01677	104.8794430743	35.7699387272	65.4196338369	127.1613897024	102.4160316290	104.8872970921	117.2412865086	22.2103239212	0	53.0494654730	104.8232685336	15.9954089721	38.2576640357	48.1475970503	38.2544609801	56.7522421866	30.8558105181	36.9900617299	95.0307532678
K01678	68.9539430768	0	36.3873524390	279.0756774371	188.6485857545	98.0544099796	67.1159699155	0	0	21.0924024024	94.3655474590	0	0	61.0571996959	53.6289967939	42.2209544598	0	37.2283353078	97.6362593405
K01679	260.6222139457	91.7764497386	154.2691070184	327.7252800758	227.4102780484	180.6162891585	257.3372829659	991.9455373662	121.8315319136	108.7012313459	80.6132830423	2374.0126874267	98.4328690370	193.7966684422	355.6277550842	189.0282832158	646.9301009253	1561.8919260063	232.1860827091
K01681	736.9008022968	331.8331609991	506.8073963912	1326.9337657589	1025.9296717325	780.1398494117	702.2616906127	2590.0621095285	290.0896299827	364.3336480167	476.6803962842	3070.6135219468	230.4309531551	427.6799752069	700.1511690591	565.6505386390	1374.9968204938	1889.4762219173	934.1177351940
K01682	20.3400443146	10.1359444079	32.3943439302	88.5414807462	27.4003472312	8.7791395907	20.0498963259	2143.2569519507	6.7932301759	8.9055510071	10.6505081892	2166.7785181796	6.4345422472	4.7992357746	0	22.2825390786	364.8838124407	1285.7518675065	9.1752246733
K01684	0	0	0	17.0023698783	0	0	0	47.9889367615	0	0	0	39.3066103895	0	0	0	0	13.4419616796	39.4325175868	0
K01685	23.0644590416	16.1599264550	24.8068793163	117.5769037128	65.7173215255	29.4093569287	41.6064760616	37.7986582636	13.3961857892	0	33.2882712744	78.4386222890	0	0	0	0	38.7387755142	45.8466419171	42.3708725975
K01686	69.3726228118	50.6589989419	79.9487227051	218.4510385540	125.2572864039	69.8817685980	93.8454458685	83.5687400706	68.7083295846	41.0854489102	57.2904665090	319.4908309507	22.6827469140	79.4004876870	50.2412561711	33.6569977847	27.9672284818	74.7595226541	92.6874475203
K01687	709.7627875509	336.8636203457	605.0672577379	1617.4578277487	1202.1748422927	1197.7206210738	771.9787933207	2644.8909825726	216.7620321655	357.5765001936	743.6030417013	4089.1633153485	218.5684823512	467.0540912818	488.3113737406	544.3529529948	1426.4658623509	2684.3776044375	1352.4650086382
K01689	998.4820527998	368.7365809325	555.3682566965	1148.3914936664	1012.1067769214	1156.7692667373	676.0563937964	2649.3989906973	346.4047467923	514.3012798244	596.2071903886	3776.0147147509	206.3594696616	606.0824027593	674.2370829936	972.8213478047	1190.2988807538	2498.6477568205	1440.4850314546
K01690	0	0	0	40.3808147527	10.6519398421	0	11.1501237213	112.6888713066	0	0	0	62.9075375190	0	0	0	0	20.5335493509	38.7826932683	0
K01692	78.9174403667	22.9843867473	40.4816580654	130.9036110817	97.2798639691	39.1395140986	92.4257396878	3263.3783679244	28.0012532427	37.6942294292	61.2863336092	2339.2212778468	25.1969951945	79.4885236686	23.2122846832	96.2569492104	1095.1573410741	1614.5815027491	128.1579746006
K01693	141.7695261698	16.0338190708	28.3934123584	37.4884406933	24.9769302027	94.0908800795	35.6871300622	1904.5147341582	5.4264132204	9.0039567032	30.1658635189	2383.8252535598	0	24.9891921813	146.5630085796	30.6132344699	483.4614946411	1440.3184798886	58.5181869273
K01695	82.9070549158	0	22.7251069263	111.2878282409	64.4268457465	142.0734660558	24.2001285449	822.7563005106	18.7326700180	13.4064320913	26.7758637830	856.0599748207	17.4382537553	21.3431378801	89.7998191011	58.5000282628	290.2831625907	593.1196586066	42.8086543686
K01696	636.5950652154	224.4200220741	285.7677045826	1252.2981814731	1157.0595146600	833.0022958994	388.1310769634	2979.0169562906	183.3770771616	189.3997886242	462.9543397837	3183.6674116755	122.6383340389	411.0800213192	519.8167213864	729.2547659097	1263.5699116612	2057.2097847479	1005.0696267314
K01697	115.5908144416	0	0	0	0	71.6338955033	0	91.3845600241	0	0	0	145.2149795920	0	0	143.0726888896	0	0	38.2772632749	9.7550436582
K01698	25.0948922813	19.4850463787	26.8811734538	123.7049210695	73.6235646376	36.9736321715	31.7291729803	1709.9531550792	7.1529200366	11.4348768228	20.2386354401	2227.4956898815	0	27.3911536025	0	42.0034551353	374.1180107274	1487.2628870271	28.9320558145
K01699	0	0	0	0	0	0	0	23.4657106091	6.7664958858	0	0	0	0	0	0	0	9.8360536184	0	0
K01703	532.5226520949	157.1481430793	306.6590396787	939.5930186380	689.8829401359	627.1040030788	449.5895181462	2626.4106432648	89.4980570207	186.5428990438	331.1569769467	2652.0958044591	120.3120138383	320.1295152446	444.5289481051	429.7446277892	1299.7478579975	1868.1219559236	798.5506115926
K01704	432.6742898495	190.6056002826	289.5848814448	883.9126070533	742.3875530317	1026.9128099886	305.4819666860	1867.1819624739	117.0600852034	233.6292745776	417.7103854497	2057.5303385733	130.8764840117	209.9459571892	346.3654501348	437.1154174805	777.7224579133	1294.1154054524	1031.9288439339
K01706	0	5.3832844267	0	51.1888808214	8.7468875452	0	8.7326853277	50.0926068261	0	0	6.9321586156	37.0806612887	0	0	0	7.6803633263	17.1854341846	27.9981641569	8.3926658193
K01707	0	0	0	0	0	0	0	42.1210251460	0	0	0	17.0575719864	0	0	0	0	6.8361306080	25.0335104135	0
K01708	0	0	0	47.0208466996	16.4284007002	0	11.7853209160	40.9934360535	0	0	9.7753907907	39.2394245026	0	0	0	9.8615918267	9.7600262056	35.6063582622	5.9413984692
K01709	0	0	0	0	0	0	0	16.1080208528	0	0	0	0	0	0	0	0	0	0	0
K01710	2129.0617991745	669.7073505173	1224.1936970209	2524.6189153806	2118.0787917257	1801.5398947782	1381.1442464396	2266.7008298789	460.9394501282	806.3221430528	1051.9322847463	1425.5007932500	445.5479220448	1294.6102551831	1033.7473320178	1137.4964939072	1670.3468231186	1173.9215601830	2100.6973038642
K01711	641.6878271547	344.1253044884	567.3788144632	1159.8323561210	1032.5730828086	1352.6340064357	393.6420166271	451.3933984054	159.1762376265	420.7225724092	788.8996172881	453.2161054269	315.8364109395	787.2035288515	1098.6932785914	1172.5398680747	616.8476306962	711.4978432557	1560.4024295377
K01712	302.3071182858	62.8853901207	141.5284298357	338.6013342381	291.3702971102	178.0052479639	275.5398287143	631.2627511836	22.8362582247	189.1040438510	113.1187831242	1452.8720214099	111.8578045682	274.2394758583	291.0857842183	211.8021490301	468.0246566436	995.1737519100	275.1827308716
K01713	0	0	0	0	0	35.3453335448	0	0	0	0	0	0	0	0	64.5435581120	0	0	0	0
K01714	166.6470871592	34.9680803913	53.4621668191	143.4537224163	93.1818398844	139.1045935445	55.7142592658	1184.1792521838	32.5430477673	27.9678719778	78.2203356682	1530.1098809798	16.0305120122	26.3610140553	207.9940889462	54.2102466772	286.0370108590	886.9652487633	82.8525054695
K01715	212.3384218800	55.9672312940	132.2955772237	169.0947442050	165.6083083534	222.9607193797	205.4568062504	85.4305233901	30.6873288814	106.8721068229	88.1576177164	231.8720698231	93.5931346636	237.5018050934	324.7414669021	307.6407231579	210.1018991696	208.8936565655	225.6145031710
K01716	0	0	7.9625513270	57.7899145666	11.2455219588	6.0975762901	13.5261996919	1231.0506703206	0	0	0	331.9304606310	0	0	3.5002525437	10.1329564509	65.2827990269	117.4085047928	4.1240195380
K01719	0	0	0	58.5828562922	11.2745363405	5.4831487378	0	0	8.4561505177	0	9.7931235885	78.7926047225	0	0	0	0	0	11.7832183888	8.0308225588
K01720	0	0	0	51.4735115665	9.1541521229	0	0	27.9476481971	0	0	7.7603939837	47.2758790948	0	0	0	0	0	14.6590068275	0
K01724	0	0	0	0	0	0	0	23.2890289125	0	0	0	0	0	0	0	0	0	0	0
K01725	0	0	0	27.4914450066	0	0	0	160.7927508127	0	0	0	0	0	0	0	0	0	17.0558826498	0
K01730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.9419933704	0
K01733	241.8818243447	87.7224129586	127.1784974011	378.3569058986	237.7974761735	361.4389302766	106.4352525096	2062.8449843864	66.5666145085	62.9173621318	229.7383290360	2518.9745136364	55.2058666434	97.5528892859	216.7207282441	107.2237413411	931.4235522375	1611.1793293457	364.8999110754
K01734	151.2224802781	70.0729613011	54.8187789973	327.0504120187	133.8169435884	128.6760558776	84.5967172561	46.3187581409	50.6662346786	81.9667068153	114.0102663522	139.0527119599	71.3194839392	72.6807454012	35.1523181659	84.7076944959	21.3618865504	125.9239805018	109.0418959980
K01735	74.2624072821	10.1341338901	36.7702469328	163.6988839000	72.1495855991	66.0260944665	62.6544265997	893.9026659204	0	15.1291736375	46.0941684578	1474.4600396155	0	0	0	28.4001773423	274.4181006604	914.2392722357	73.6963274087
K01736	125.0899091322	25.3734571015	29.9741818460	156.7911124205	87.1839713985	136.6770749699	94.8829739509	1585.9903311697	35.4552946799	21.4717887252	52.4819733296	2351.6137853295	16.8542396280	40.6436551720	151.0992155616	27.0514683881	506.7443492659	1386.8791729429	116.1288183424
K01737	0	0	5.9821103629	27.6110458606	0	9.8471190658	7.8648003615	206.9919478213	14.7074099464	0	0	2034.7038332803	0	0	2.9919541847	12.8293549446	69.6215870569	1043.0829836852	9.1327718070
K01738	299.6161022994	181.1513806953	277.2711016824	653.9895150574	484.7672000396	512.3759398436	387.1017987121	1570.2910658837	145.4195994997	221.6440878578	309.1000501887	2099.1313385397	85.0495631158	185.0229963889	239.9161214745	275.8373288542	609.9319158993	1285.9207005175	594.2274921650
K01739	115.7916701435	0	8.3534696798	73.0877157808	26.0541129381	68.2877089100	26.8948310613	57.1777399035	11.0719486207	0	12.1993046147	1404.9594866816	0	0	157.6936748672	23.5718060002	15.2188766047	352.3548148154	11.3216569044
K01740	1769.1564559213	780.5892156369	1242.2676519242	3013.8451267497	2584.9563317025	2025.2967349027	1690.0071742708	3539.5832290178	795.1084341273	876.4526031443	1409.5210088551	2827.9682875699	518.6711631608	1082.4323036630	1436.3677688724	1798.2983054953	2529.6194244986	2357.2759444530	2633.0976895318
K01744	105.0016071143	73.8229895345	99.0163361841	165.9915013373	117.7834948352	175.2472622499	85.8804178668	505.0904911690	31.1918797944	97.3017658433	69.2549898470	423.9402058395	55.9934428829	187.4866018615	239.0892899779	139.2710511404	200.4555892993	227.2739074484	178.2419020293
K01745	28.6721985466	0	12.1093724604	33.8509813652	15.5972655260	13.6077077255	32.0371362508	317.7276286855	0	18.3984393396	8.7816438999	1410.1726646956	0	19.1197045602	15.0042838115	27.1701317785	208.8605449090	622.6737999755	48.1695258506
K01749	11.0505519991	10.8812194714	9.8319267953	66.2804263110	22.6902651899	18.8278014481	12.1913816444	946.5377528200	0	0	17.0311353331	1406.2659698676	0	13.4059231633	10.8814264828	15.4673074105	209.9443375603	717.6173577882	0
K01750	0	0	0	0	0	0	0	157.9140995413	0	0	0	459.1336173112	0	0	0	9.7800106455	115.3808736759	207.1362197350	0
K01751	0	0	0	81.7173150640	56.8289844643	16.3179593576	0	42.9001124336	0	0	15.4974565082	43.5514391912	0	0	0	0	0	10.2780678960	22.3640359363
K01752	230.5686650864	102.3661998773	150.8672127519	419.7828078562	262.2107266141	247.1989340445	275.4534385785	744.3502783551	77.1186603480	89.7093389475	117.3759081211	2888.2355862948	47.6306997831	262.7004232851	308.8158888604	211.7091556532	619.6296694854	1616.3638984025	403.8343424909
K01753	0	0	15.5619385306	73.8851636911	37.5090309063	0	33.6162306691	41.9379349324	0	0	0	257.8108541278	0	0	25.6735537637	19.5576376075	40.5106365619	106.4923996025	0
K01754	341.2784837844	86.4443355087	156.2223733706	571.5965622053	421.8056464914	364.9050512734	196.1357890364	1760.6692050375	49.9793681229	73.7729166236	214.0286155048	2219.5366969983	85.1620043253	88.2821603966	297.3801632498	177.9887347427	385.1664196454	1252.8938860660	344.7445221571
K01755	386.4846547051	159.9321999533	294.9138280291	862.2196473283	584.8403070446	606.3573331268	285.0708231889	1870.8086381901	90.2993567537	178.1066448006	369.2129061906	2708.1337623683	134.8362746331	215.1093064269	356.0593749949	295.9700251696	664.0245002344	1667.6503241639	670.3523035612
K01756	661.9543341927	250.0644667690	419.6879941563	1079.9819670214	781.3003677300	820.9725389668	544.7682857287	1922.8230962927	143.3934158813	259.8856802834	463.6766774803	2607.9011556873	180.7438878129	404.0779457269	531.9404110154	370.8021733909	762.2449114709	1677.6702197707	797.6213220508
K01758	0	0	0	0	0	0	0	166.5069843440	0	0	0	93.3091029188	0	0	0	0	13.1106507044	31.1734912993	0
K01759	7.1442879479	0	19.1518006207	32.1415365622	16.0429806109	0	11.6759286774	1536.6587904784	0	0	0	1429.3666987221	0	5.4084074727	0	12.9209858242	177.3316998422	849.3657977605	7.2955902100
K01760	101.7750563494	9.6981589148	10.6558153035	63.5351949657	29.6317875524	0	31.8135037414	177.2654344882	9.5592992139	0	11.4707044494	1139.8111498450	0	19.7083663176	0	20.2356146675	79.6664253812	642.5652678260	4.4705050655
K01761	0	0	0	0	0	0	0	17.9521207945	0	0	0	35.7235899667	0	0	0	0	0	0	0
K01766	0	0	0	53.6337896358	7.6461060161	0	0	17.8627478980	0	0	0	28.9714388379	0	0	0	0	8.4934735277	5.9679766571	0
K01770	318.8814874111	161.9848364733	232.7298831465	714.5962536634	545.0554903931	531.7335720103	371.6271249400	772.2753833233	54.3407846595	146.0935547642	408.0736850438	1232.0315193560	140.0257648869	173.1630357364	380.7403000781	271.7206202297	453.5418357860	946.2897209663	707.8170055063
K01772	0	0	6.3588097069	50.1016157795	0	0	8.2078328962	249.5122041946	0	0	0	762.1728542277	0	0	0	17.6508500438	67.4655133302	248.8078450038	0
K01775	130.8505832468	20.0418639915	35.1484461917	159.7710996908	65.0673191907	115.6549707223	48.1334182285	297.8031514287	16.5862398188	0	45.1844500005	745.9870742344	19.0479655145	25.0202794795	153.7130182369	53.1958986961	80.4027637466	386.1212098907	40.6701978317
K01776	59.7876615150	3.7650544804	7.5109447869	60.4628650528	17.2446386561	71.7390442597	34.9500983300	144.1364850975	8.8043509191	6.3693693777	21.3824556315	743.7560400058	0	0	105.6727179037	0	82.2401160898	443.7162591359	15.5725841964
K01778	60.2844380081	0	19.4317533830	207.5952016395	163.0697470397	82.5461721394	26.4549649269	938.7492005956	0	26.8803638997	25.8467970956	814.4237239118	10.7580014274	48.2396245742	171.5456180907	20.4737905297	335.5975252556	589.5194039413	37.5163447407
K01779	0	0	9.9056970425	28.5341222292	13.3367848709	58.1289403276	17.0908296991	39.4231967518	11.4445621393	0	8.7480805807	35.6639980584	0	0	107.3439503832	0	17.2184437533	71.4507174338	0
K01782	0	0	0	47.0009195113	0	0	6.7218377832	294.5780232815	3.8793687644	0	0	282.9635639181	0	0	0	0	268.6435291095	187.9149817418	0
K01783	126.2910177840	20.8049519397	28.7488285069	77.0071633073	36.7287997805	79.0955919448	39.8181949830	1479.8499529183	19.1761190721	11.0954068385	30.0442284410	2244.8398360989	9.4459259791	11.0784090783	91.5317027756	11.1280340396	259.4195712638	1192.1116352070	33.2349917904
K01784	683.4770207619	241.3084553521	317.3888375431	920.1351609473	589.4029700474	676.5295132846	417.8656196687	908.9900827699	140.3500984657	208.1180859182	386.0901374464	2172.1255045201	180.7863346218	314.2934064762	517.8618616371	399.6766191414	673.5795996354	1327.3914121927	641.3761690557
K01785	0	0	7.5371435776	53.5556606337	17.1179622430	10.2707766562	19.5422504861	28.6437677921	0	0	19.2436817644	353.3098336037	0	6.6194408625	5.9573224286	10.2058730843	12.3713489700	112.4839707569	0
K01786	239.6100891434	54.3944928398	62.7697892739	250.7454532017	198.2587837299	271.5064428138	112.2204544178	112.6078948673	28.3827887099	74.7174975219	73.2291277455	73.2427232028	62.3924613016	37.5001062617	225.7314583636	164.3211883618	76.0438917243	84.9377272798	114.1317197664
K01788	99.9565864227	115.9635467737	259.0287320629	230.5980444340	205.5013960443	187.3043543307	230.4930260068	19.6023307866	191.3469778984	222.5373014726	119.1862913313	759.7406087464	17.6772453694	367.9171403803	223.2006973275	118.0040779792	126.2847340199	293.1084308601	241.1874136445
K01790	286.6922833878	69.5118162325	84.7870184926	0	145.3111404453	172.9628070016	99.1453200011	389.5348233050	0	65.5727260761	106.6058752999	198.5059324614	0	82.7350730249	88.5671883924	140.0680598639	0	184.6020025860	90.3143375508
K01791	983.6907774655	388.9424324772	632.3098939338	1324.9062412678	1167.1401798244	1115.3461530425	860.0624830162	1031.4909052227	182.1717110883	679.8615783567	471.2033225882	861.3796266719	315.2221820523	1001.1872150125	843.2581121991	798.7203168273	1026.1757558112	1062.5105286715	1067.2067078049
K01792	0	0	0	44.4255232529	7.0180465663	0	7.0818988104	14.0334061868	0	0	0	30.4201619776	0	0	0	0	0	8.2046481698	0
K01795	0	0	0	31.3960364059	15.2476849555	14.0667076766	0	23.7386039753	0	0	10.1684805421	91.3626239445	0	0	0	0	0	172.9741629392	0
K01796	0	0	0	0	0	0	0	154.3745954796	0	0	0	395.4482562073	0	0	0	0	117.4379337410	234.9419288558	0
K01797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.5913488579	0
K01799	0	0	0	0	0	0	0	30.7224984071	0	0	0	0	0	0	0	0	0	17.9119283527	0
K01800	0	0	0	0	0	0	0	19.1025200603	0	0	0	9.6974691095	0	0	0	0	0	13.6402365446	0
K01802	151.6804218057	0	11.2565468631	5.6885754397	3.1276351579	141.3440856112	0	246.2249085147	0	0	0	1315.3290375693	0	0	216.2164356404	0	156.8746132245	777.1550869548	21.0389328034
K01803	340.8314894736	98.7341496313	157.2225944199	608.0912421665	451.1297439315	399.8757885407	238.4347466353	886.5673545663	47.1886432323	110.9817075442	181.7978973487	1592.3481931025	73.8990908333	85.5923944704	209.9592687390	154.2890628910	270.4723289145	906.9001615645	303.9051004065
K01804	129.1909906177	0	12.4678136635	59.6105747484	9.5541022636	85.8793548276	21.2921846206	30.2251644963	0	0	12.4668015365	52.7707290795	0	0	163.8180262190	0	0	33.0520237523	8.7841307193
K01805	135.8734272939	25.9063759271	39.3439263915	93.6924275041	48.0973958821	130.4412910944	72.6402547497	39.5357444898	12.5834299129	37.8062429600	31.5689238323	82.9549803153	22.5643916737	0	139.1680122589	37.7975568820	40.4199040346	50.3080950877	109.0403755850
K01807	123.9309639787	0	19.6594878957	60.6913830509	29.1894185172	101.1883513913	31.7798872368	749.9102221015	9.1290988982	7.7481757079	22.7239948692	1567.4451648715	0	0	147.4533515363	24.8315863895	164.9054613061	927.7097107454	0
K01808	0	12.2132752088	0	33.2970413905	31.3884969871	47.7930723824	30.8248475931	31.1734882611	9.5712517011	0	44.9843480463	828.5743476619	0	0	0	26.4709476196	34.8992923925	529.3374469275	64.6582017283
K01809	35.8827858903	8.3387640434	20.6505999084	78.4822880809	29.7834548703	61.6912973614	44.8619949448	113.0711746871	14.8042056557	0	15.6256189703	586.2220614203	0	0	93.8571029868	19.0525553209	45.0110805445	190.7773499870	18.2850839233
