"A001"	"A003"	"A006"	"A007"	"A010"	"A011"	"A013"	"A015"	"A018"	"A020"	"A021"	"A024"	"A025"	"A028"	"A029"	"A031"	"A034"	"A035"	"A037"	"A039"	"A081"	"A082"	"A083"	"A084"	"A085"	"A086"	"A091"	"A093"	"A094"	"A098"	"A099"	"A100"	"A101"	"A107"	"A108"	"A109"	"A116"	"A118"	"A119"	"A120"
"193591"	0	0	0.000166666666666667	0.000285714285714286	7.14285714285714e-05	4.76190476190476e-05	0.000166666666666667	7.14285714285714e-05	4.76190476190476e-05	2.38095238095238e-05	0.000261904761904762	0	0.000571428571428571	2.38095238095238e-05	0	0	0.000476190476190476	0	0	0.000142857142857143	4.76190476190476e-05	0.00116666666666667	0.00347619047619048	4.76190476190476e-05	9.52380952380952e-05	0.00111904761904762	0.00030952380952381	0.000166666666666667	0.0024047619047619	4.76190476190476e-05	0.000357142857142857	9.52380952380952e-05	0.000285714285714286	0.000119047619047619	4.76190476190476e-05	0	0	0.000119047619047619	0.000166666666666667	9.52380952380952e-05
"182456"	0	0	0	0	0	0	0	0	0	0	0	0	0	2.38095238095238e-05	0	0	0	4.76190476190476e-05	0	4.76190476190476e-05	7.14285714285714e-05	4.76190476190476e-05	0	0	2.38095238095238e-05	0	4.76190476190476e-05	0	0	0	7.14285714285714e-05	0	0	9.52380952380952e-05	0	2.38095238095238e-05	0	0	2.38095238095238e-05	2.38095238095238e-05
"336468"	0	2.38095238095238e-05	0	0	0	0	0	0	0	0	0	0	0	2.38095238095238e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"193778"	0.000166666666666667	7.14285714285714e-05	0.000714285714285714	0.0029047619047619	0.000785714285714286	0.000261904761904762	2.38095238095238e-05	0.000738095238095238	0	0.000952380952380952	0.000214285714285714	0.00316666666666667	0	0	4.76190476190476e-05	0.00114285714285714	0.000595238095238095	9.52380952380952e-05	0.000261904761904762	0.000166666666666667	0.000119047619047619	9.52380952380952e-05	0	0.00080952380952381	0.00130952380952381	0	0.0039047619047619	0	0	0.0024047619047619	0	0.00114285714285714	0.00080952380952381	0.000547619047619048	0.000714285714285714	0.00030952380952381	0	0	0	0.001
"295854"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.38095238095238e-05	0	0	0
"197760"	0	4.76190476190476e-05	0.000142857142857143	0	0.000142857142857143	0	0.00030952380952381	2.38095238095238e-05	2.38095238095238e-05	0.000261904761904762	0	0	0.000404761904761905	0	0	2.38095238095238e-05	0	0	4.76190476190476e-05	0.000238095238095238	2.38095238095238e-05	2.38095238095238e-05	0.000166666666666667	4.76190476190476e-05	0	0.000119047619047619	0.000238095238095238	0	0	0	0	2.38095238095238e-05	0.000238095238095238	7.14285714285714e-05	7.14285714285714e-05	0.000214285714285714	0	4.76190476190476e-05	4.76190476190476e-05	0
"362389"	0	0	0	2.38095238095238e-05	0	0	0	2.38095238095238e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.38095238095238e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"191683"	0.000119047619047619	4.76190476190476e-05	7.14285714285714e-05	9.52380952380952e-05	0.000119047619047619	4.76190476190476e-05	2.38095238095238e-05	0	9.52380952380952e-05	0	4.76190476190476e-05	0	0.000166666666666667	9.52380952380952e-05	0	0	0	0	2.38095238095238e-05	0.000142857142857143	2.38095238095238e-05	4.76190476190476e-05	2.38095238095238e-05	2.38095238095238e-05	0	4.76190476190476e-05	2.38095238095238e-05	0	0	4.76190476190476e-05	0	2.38095238095238e-05	0	4.76190476190476e-05	0	0.000166666666666667	0	0	0	0
"1135042"	0	0	0	0	0	0	0	0	0	0	2.38095238095238e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.52380952380952e-05	0	0	0	0	0	0	0.000285714285714286	0	0	0
"308907"	0	0	0	4.76190476190476e-05	0	0	0	0	0	0	0	0	0	0	2.38095238095238e-05	0	4.76190476190476e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.38095238095238e-05	0	2.38095238095238e-05	0	0	0	0
